name,price,price_reduced,place,guests,bedrooms,beds,bathrooms,lat,lng,nr_of_ratings,rating_overall,rating_valueformoney,rating_location,rating_checkin,rating_communication,rating_cleanliness,rating_data_accuracy,comments,list_ameneties
Perfektes Studio für eine einzelne Person oder ein Paar,150 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.34487,8.53292,6 Bewertungen,"4,17 ·","3,8","4,5","5,0","5,0","4,0","4,7","['Ziemlich heruntergekommen. Unten verrichten Prostituierte hörbar ihre Dienste.', 'Ein schöner Ort in einer schönen Stadt. Toll gelegen, eine Minute von einer Straßenbahn, zwei Minuten von einem Supermarkt, drei Minuten von einem Bahnhof und vier Minuten vom Zürichsee entfernt.', 'Die Wohnung war für uns perfekt gelegen, die öffentlichen Verkehrsmittel sind ganz in der Nähe. Es war klein, aber ideal für ein Paar. Die Gastgeber sind freundlich und beantworten umgehend alle Fragen, die wir hatten. Der Check-in und Check-out waren einfach. Würde gerne wieder hier übernachten.\nMehr anzeigen', 'Perfekte Unterkunft', 'Danke, Simone', 'Toller Aufenthalt in einer einfachen, süßen Unterkunft!']","['Föhn', 'Shampoo', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Bügeleisen', 'Aufbewahrung von Kleidung', 'TV', 'Heizung', 'WLAN', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Herd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Esstisch', 'Haustiere erlaubt', 'Eigenständiger Check-in', 'Schlüsselbox']"
Tolle und geräumige Wohnung an der Oper und am See,149 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.36293,8.55023,,,,,,,,,"['Wonderful Airbnb with a great host! The unit is small, but well stocked and will have everything you need. The location is great as it is directly on the tram route, and only about 7 minutes ride to Zurich Main Station. Fast internet. 2 grocery stores near by and within about 2 blocks of the water. Laundry is shared with the building, but the washer and dryer are high quality. Over all highly recommend!\nMehr anzeigen']","['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Shampoo der Marke Nivea', 'Seife/Duschgel der Marke Nivea', 'Warmwasser', 'Duschgel', 'Waschmaschine', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Wäscheständer für Kleidung', 'Aufbewahrung von Kleidung: Kommode', 'TV', 'Bücher und Lesematerial', 'Zentralheizung', 'Rauchmelder', 'Feuerlöscher', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine: Nespresso-Maschine', 'Backblech', 'Mixer', 'Kaffee', 'Esstisch', 'Am Wasser', 'Zugang zum See']"
Zentrale Wohnung im beliebten Quartier,150 CHF ,,"Zürich, Schweiz",6 Gäste,1 Schlafzimmer,3 Betten,1 Badezimmer,47.37046,8.51851,14 Bewertungen,"4,36 ·","4,4","4,8","4,7","4,5","4,2","4,4","[""Gentilissima, abbiamo prenotato all'ultimo minuto ed è riuscita lo stesso ad accontentarci. Posizione ottima."", 'El apartamento muy acogedor , el sector en el que se encuentra es muy tranquilo , a pasos de supermercado y transporte público . Único detalle en verano , no cuenta con aire acondicionado.', 'Valerie was nice but don’t think she is used to having Airbnb guests over at her place. It was barely ready, had cat hair on the couch and cleanliness left a little to be desired. On the other hand, the place was central and in a quiet residential location, good for family stays.', 'Wonderful stay at Zurich in Valerie’s appartement, we loved it. The appartement is super nice as showed on the pictures and very well located. Highly recommended for a family trip to Zurich. Kids didn’t want to leave and even bring Princess, the lovely cat, with us :)']","['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Warmwasser', 'Waschmaschine', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Abdunklung', 'Bügeleisen', 'Wäscheständer für Kleidung', 'Trainingsgeräte: Yogamatte', 'Kinderbücher und -spielzeug für die Altersklassen 0\xa0bis 2\xa0Jahre alt, 2\xa0bis 5\xa0Jahre alt und 5\xa0bis 10\xa0Jahre alt', 'Hochstuhl', 'Kindergeschirr', 'Babyfon', 'Empfehlungen für Babysitter', 'Zentralheizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Ofen', 'Kaffeemaschine: Nespresso-Maschine', 'Weingläser', 'Backblech', 'Mixer', 'Kaffee', 'Esstisch', 'Terrasse oder Balkon', 'Gartenmöbel', 'Essbereich im Freien', 'Kostenlose Parkplätze an der Straße', 'Kostenpflichtiges Parken auf der Straße außerhalb des Grundstücks', 'Haustiere erlaubt', 'Eigenständiger Check-in', 'Reinigung während des Aufenthalts möglich', 'Schlüsselbox']"
RELOC Neu und direkt am Bahnhof,117 CHF ,,"Wallisellen, Zürich, Schweiz",2 Gäste,Studio,1 Bett,"1,5 Bäder",47.4131,8.5919,4 Bewertungen,"5,0 ·","4,5","4,8","5,0","5,0","4,8","5,0","['Immer meine erste Option in Zürich\n\n😊Tolle Lage, gute Kommunikation, und wenn man für eine lange Zeit bucht, erhält man einen Rabatt und einmal pro Woche eine saubere Dame. 😉\nMehr anzeigen', 'Das Studio ist im Allgemeinen sehr gut; gute Qualität und gut ausgestattet. Das Bemerkenswerteste ist die kontinuierliche Verfügbarkeit und die gute Unterstützung durch den Manager, der den Ort betreibt: Balazs. Er war schnell bei der Lösung all meiner Anfragen und machte meine Haltung perfekt, besser als erwartet.\nMehr anzeigen', 'Definitiv empfehlenswert für jeden, der ein neues und gut gelegenes und verbundenes Studio zu einem vernünftigen Preis sucht.', 'Balazs Unterkunft war ziemlich erstaunlich! Hatte alles, was wir wollten oder brauchten, für das, wofür wir bezahlt haben. Meine einzige Beschwerde war jedoch, weil es in der Nähe einer Hauptstraße und so nah am Bahnhof war, dass es bei den Einheimischen am Wochenende und vorbeifahrenden Autos ein wenig laut werden kann.\nEin guter Ort, um deine Zeit in Zürich zu verbringen!\nMehr anzeigen']","['Föhn', 'Warmwasser', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Bügeleisen', 'TV', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Kaffeemaschine', 'Terrasse oder Balkon', 'Aufzug', 'Haustiere erlaubt', 'Eigenständiger Check-in', 'Codeschloss']"
"""Century Chic"" Wohnung 1. Stock",182 CHF ,,"Uster, Zürich, Schweiz",3 Gäste,2 Schlafzimmer,3 Betten,1 Badezimmer,47.34786,8.72367,11 Bewertungen,"4,73 ·","4,4","4,5","4,8","4,8","5,0","4,9","['Nettes Appartement, neu eingerichtet und renoviert. Nur wenige hundert Meter vom Bahnhof von Uster und damit von Restaurants und Einkaufsmöglichkeiten entfernt. Parkplatz gegen Aufpreis direkt vor dem Haus.', 'Alles in Ordnung', 'Muy confortable', 'Ordentliche und schöne Wohnung in der Nähe des Bahnhofs und des Dorfzentrums', '.', 'Wir hatten einen schönen Aufenthalt! Schön wäre es, wenn es in der Küche ein paar Schälchen oder ein paar mehr tiefe Teller gäbe. auch gibt es nur 1 Messer zum Gemüseschneiden.\n\nWir kommen wieder.', 'Nettes Appartement, neu eingerichtet und renoviert. Nur wenige hundert Meter vom Bahnhof von Uster und damit von Restaurants und Einkaufsmöglichkeiten entfernt. Parkplatz gegen Aufpreis direkt vor dem Haus.', 'Alles in Ordnung', 'Muy confortable', 'Ordentliche und schöne Wohnung in der Nähe des Bahnhofs und des Dorfzentrums', '.', '⭐️⭐️⭐️⭐️⭐️']","['Warmwasser', 'Waschmaschine\xa0– im Gebäude: Kostenpflichtig', 'Trockner\xa0– im Gebäude: Kostenpflichtig', 'Grundausstattung', 'Kleiderbügel', 'HDTV', 'Reisebett für Kinder', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Geschirr und Besteck', 'Herd', 'Kaffeemaschine']"
BIG lakeside appt for upto 4 adults sauna and pool,155 CHF ,,"Horgen, Zürich, Schweiz",5 Gäste,2 Schlafzimmer,4 Betten,"1,5 Bäder",47.24748,8.60876,10 Bewertungen,"3,60 ·","3,9","4,6","4,9","4,5","3,9","3,7",[],"['Blick auf die Bucht', 'Blick auf die Skyline der Stadt', 'Blick in den Garten', 'Seeblick', 'Blick auf die Berge', 'Blick auf den Weinberg', 'Badewanne', 'Föhn', 'Shampoo', 'Warmwasser', 'Waschmaschine\xa0– im Gebäude: Kostenpflichtig', 'Trockner\xa0– in der Anlage: Kostenpflichtig', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Ethernet-Verbindung', '65-Zoll-HDTV mit Chromecast, Normaler Kabelanschluss', 'Spielkonsole', 'Trainingsgeräte', 'Babybett', 'Reisebett für Kinder', 'Kinderbücher und Spielzeug', 'Hochstuhl', 'Baby-Badewanne', 'Kindergeschirr', 'Wickeltisch', 'Kamingitter', 'Gesicherte Fenster', 'Steckdosen-Sicherungen', 'Baby-Sicherheitsgitter', 'Tischkantenschutz', 'Empfehlungen für Babysitter', 'Klimaanlage\xa0– geteiltes System ohne Luftkanal', 'Heizung', 'Rauchmelder', 'Kohlenmonoxidmelder', 'Feuerlöscher', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Induktionsherd', 'Ofen', 'Kaffeemaschine', 'Am Wasser', 'Strandzugang\xa0– am Strand', 'Zugang zum See', 'Direkter Zugang zur Skipiste\xa0– Skilifte in der Nähe', 'Privater Eingang', 'Privat Innenhof oder Balkon', 'Gemeinsam genutzter Garten\xa0– Komplett umzäunt', 'Feuerstelle', 'Gartenmöbel', 'Hängematte', 'Essbereich im Freien', 'Strandzubehör', 'Kostenloser Parkplatz auf dem Grundstück', 'Kostenlose Parkplätze an der Straße', 'Pool (gemeinsam genutzt, im Freien)\xa0– saisonal verfügbar, zu bestimmten zeiten anbieten, beheizt', 'Ladestation für Elektrofahrzeuge', 'Privater Fitnessraum im Gebäude', 'Kostenpflichtige Parkplätze auf dem Gelände', 'Gepäck kann abgestellt werden', 'Eigenständiger Check-in', 'Angestellte im Gebäude', 'Reinigung während des Aufenthalts möglich']"
Cooles und stilvolles urbanes Wohnen,140 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.41192,8.54394,9 Bewertungen,"4,89 ·","4,4","5,0","5,0","5,0","4,7","4,9","['Es ist eine sehr günstige Lage direkt neben dem Bahnhof. Das Studio befindet sich im Innenhof des Gebäudes, sodass es ruhig ist.\nEs war sauber, komfortabel und alles war wie angegeben. Wir haben einen tollen Aufenthalt für fünf Nächte verbracht.', 'Tolle Unterkunft, Gastgeber usw., alles war super sauber und super gut! Die Gegend für mich war die beste, die wir finden konnten, da sie vor dem Bahnhof liegt, sodass es ziemlich einfach war, überall hinzukommen.\nSehr zu empfehlen!', 'Die Wohnung hat eine super Lage direkt vor dem Bahnhof Oerlikon. Trotz seiner Lage ist es sehr ruhig, und man hört kaum Lärm, der vom Bahnhof kommt. Die Unterkunft ist sehr gut ausgestattet, und es gibt alles Notwendige für kurze und lange Aufenthalte. Rafa ist eine ausgezeichnete Gastgeberin, sehr reaktionsschnell, freundlich und bereit, bei allen Problemen zu helfen, die auftreten könnten. Leider hatten wir einige Probleme mit der Sauberkeit der Wohnung. Sie wurden jedoch sofort angesprochen und wir haben unseren Aufenthalt trotzdem genossen.', 'Rafa ist ein netter und hilfsbereiter Gastgeber. Er stellte alles zur Verfügung, was ein Gast braucht. Das Haus befindet sich in großartiger Lage, um öffentliche Verkehrsmittel zu nutzen. Die Nachbarschaft ist schön. Du kannst die Züge und Geräusche vom Bahnhof hören, aber nur, wenn du Fenster geöffnet hast. Dies war mein Fall seit dem Besuch im Sommer. Aber ich gewöhnte mich daran.', 'Vielen Dank an Rafa und seine Frau. Beide sind in jeder Situation sehr einladend und hilfsbereit. Ich liebte die Gegend, da sie sehr zentral war und viele Restaurants und andere schöne Dinge hatte. Die Wohnung war süß und sauber, ich konnte jederzeit mit Rafa kommunizieren, wenn ich Fragen hatte. Ich bin froh, dass ich so eine schöne Unterkunft hatte. 😊', 'Rafa ist eine ausgezeichnete Gastgeberin. Die Kommunikation geht einfach und die Lage der Wohnung ist recht günstig.', 'Es ist eine sehr günstige Lage direkt neben dem Bahnhof. Das Studio befindet sich im Innenhof des Gebäudes, sodass es ruhig ist.\nEs war sauber, komfortabel und alles war wie angegeben. Wir haben einen tollen Aufenthalt für fünf Nächte verbracht.', 'Tolle Unterkunft, Gastgeber usw., alles war super sauber und super gut! Die Gegend für mich war die beste, die wir finden konnten, da sie vor dem Bahnhof liegt, sodass es ziemlich einfach war, überall hinzukommen.\nSehr zu empfehlen!', 'Die Wohnung hat eine super Lage direkt vor dem Bahnhof Oerlikon. Trotz seiner Lage ist es sehr ruhig, und man hört kaum Lärm, der vom Bahnhof kommt. Die Unterkunft ist sehr gut ausgestattet, und es gibt alles Notwendige für kurze und lange Aufenthalte. Rafa ist eine ausgezeichnete Gastgeberin, sehr reaktionsschnell, freundlich und bereit, bei allen Problemen zu helfen, die auftreten könnten. Leider hatten wir einige Probleme mit der Sauberkeit der Wohnung. Sie wurden jedoch sofort angesprochen und wir haben unseren Aufenthalt trotzdem genossen.', 'Rafas Air B&B war genau wie beworben. Sie befindet sich in einem schönen Teil von Zürich und so nah am Flughafen und dem Zentrum der Stadt. Die Wohnung selbst war sauber und modern. Die Kommunikation mit Rafa war ausgezeichnet. Es war toll, ihn persönlich kennenzulernen. Er war äußerst einladend und bot uns einige tolle Ratschläge, wenn er die Stadt besuchte. Wir würden dieses Air B&B wärmstens empfehlen und werden sicherlich wiederkommen!']","['Föhn', 'Reinigungsprodukte', 'Shampoo der Marke Nivea', 'Seife/Duschgel der Marke Nivea', 'Warmwasser', 'Duschgel', 'Waschmaschine\xa0– im Gebäude: Kostenpflichtig', 'Trockner\xa0– im Gebäude: Kostenpflichtig', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Aufbewahrung von Kleidung: Einbauschrank und Kommode', 'TV', 'Bücher und Lesematerial', 'Brettspiele', 'Tragbare Ventilatoren', 'Zentralheizung', 'Feuerlöscher', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Edelstahl-Induktionsherd', 'Edelstahl-Backofen', 'Wasserkocher', 'Kaffeemaschine: Nespresso-Maschine', 'Toaster', 'Backblech', 'Mixer', 'Kaffee', 'Esstisch', 'Aufzug', 'Kostenpflichtiges Parken auf der Straße außerhalb des Grundstücks', 'Gepäck kann abgestellt werden', 'Langzeitaufenthalte sind möglich']"
Hauptbahnhof-nahe ganze Wohnung 85 Quadratmeter,154 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.37535,8.54535,7 Bewertungen,"4,86 ·","4,9","4,9","4,7","4,4","4,7","4,9","['Für Zürich eine unglaublich preiswerte Unterkunft. Zentraler geht es kaum! Man kann problemlos zu Fuss in die Stadt, sowie an den See. Essensmöglichkeiten gibt es direkt vor der Haustür und Clubs, Bars sind mit dem Tram in wenigen Minuten erreichbar.', 'Pascal war ein echt netter gastgeber. ultra zentrale wohnung in der nähe vom hauptbahnhof in einer schönen innenstadt-gegend! Leider ist das bad nicht sehr gross. Parkmöglichkeiten gab es in diversen parkhäusern. Wochentags kann man gratis ab 20:00 Uhr parken und am sonntag den ganzen tag gratis.', 'Gute Wohnung, alles wie beschrieben. leider war das wetter nicht so schön, aber mit dem öffentlichen verkehr kommt man überall hin und es dauert wirklich nur 60 sekunden von der haustür bis zur Haltestelle']","['Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Abdunklung', 'Bügeleisen', 'Aufbewahrung von Kleidung: Kleiderschrank', 'TV', 'Spielekonsole: PS4', 'Tragbare Ventilatoren', 'Heizung', 'Schnelle WLAN-Verbindung\xa0– 106\xa0Mbit/s.', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Kaffeemaschine', 'Haustiere erlaubt', 'Begrüßung durch Gastgeber']"
Schickes Haus,150 CHF ,,"Meilen, Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.26638,8.65377,,Neu,,,,,,,[],"['Blick in den Garten', 'Seeblick', 'Seeblick', 'Trockner', 'HDTV mit Netflix', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Geschirr und Besteck', 'Kaffeemaschine', 'Privat Innenhof oder Balkon', 'Essbereich im Freien', 'Kostenloser Parkplatz auf dem Grundstück']"
"Tolle Wohnung, in der Nähe von Zürich, kostenlose Parkplätze",150 CHF ,,,2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.36408,8.36222,,,,,,,,,[],"['Waschmaschine', 'TV', 'Überwachungskameras auf dem Grundstück', 'Rauchmelder', 'Kohlenmonoxidmelder', 'Feuerlöscher', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Kaffeemaschine', 'Terrasse oder Balkon', 'Kostenloser Parkplatz auf dem Grundstück']"
4.5 Zimmer - Zürich-Walllisellen (FR-22),121 CHF ,,"Wallisellen, Zürich, Schweiz",4 Gäste,3 Schlafzimmer,3 Betten,"1,5 Bäder",47.4165,8.58605,22 Bewertungen,"4,18 ·","4,1","4,5","4,4","4,6","4,4","4,5","['Küche und Teile der Wohnung waren bei Ankunft in einem katastrophalen Zustand. Dreckige, alte Pfannen in den Kästen. Benutztes Geschirr in den Schränken, Kästchen voller Fett und klebrig. Wasserkocher unbrauchbar. Bad und WC aber gut geputzt.\nVersprochene Müllsäcke und wenige Kapseln für Kaffeemaschine waren nicht vorhanden und wurden auch nicht nachgebracht.\nKaffeemaschine: Kapseln dafür gab es in den umliegenden Geschäften nicht zu kaufen-konnte nicht benutzt werden.\nKommunikation hat geklappt, es wurde rasch geantwortet: der Putztrupp wurde für den übernächsten Tag nochmals geschickt und hat dann auch super sauber gemacht. Trotzdem musste von uns im Urlaub geputzt werden, damit wir den ersten Tag die Küche überhaupt nutzen konnten.\nKaputter Garderobenständer, defekte Lampe im Schlafzimmer und in der Küche. Defektes Fenster von Anfang an in einem Schlafzimmer. Balkontüre ließ sich auch immer schlechter schließen.\nInfo über Late-checkout wurde wohl nicht weitergeben: plötzlich stand jemand vor der Türe und wollte in die Wohnung.\nLage der Wohnung ist top und sie hätte auch Potenzial, wird nur leider zwischen den Gästen nicht kontrolliert und so fallen die Mängel nicht auf. Als Gast muss man sich dann im Urlaub um die Reparaturen kümmern.', 'Das Airbnb in Seebach ist eine sehr geräumige Wohnung, die dazu schön eingerichtet ist. Ist für junge Menschen gut geeignet, wenn man in Zürich flexibel sein möchte. Sehr zu empfehlen.', 'Alles super ohne Probleme!!!', 'Alles OK', 'Sehr super Gastgeber, freundlich und hilfsbereit. Lage ist top. Das Apartment ist sehr modern und toll eingerichtet.""', 'Gute und saubere Unterkunft.\nCheck-in war nicht ganz reibungslos, Keyapp hat nicht beim ersten Versuch funktioniert und Wohnung war nicht am beschriebenen Stockwerk. Gastgeber war schlecht erreichbar. Trotzt Einverständnissnahme vom Gastgeber für späteres Check-out, vom Reinigungspersonal aus der Wohnung gebeten.', 'Küche und Teile der Wohnung waren bei Ankunft in einem katastrophalen Zustand. Dreckige, alte Pfannen in den Kästen. Benutztes Geschirr in den Schränken, Kästchen voller Fett und klebrig. Wasserkocher unbrauchbar. Bad und WC aber gut geputzt.\nVersprochene Müllsäcke und wenige Kapseln für Kaffeemaschine waren nicht vorhanden und wurden auch nicht nachgebracht.\nKaffeemaschine: Kapseln dafür gab es in den umliegenden Geschäften nicht zu kaufen-konnte nicht benutzt werden.\nKommunikation hat geklappt, es wurde rasch geantwortet: der Putztrupp wurde für den übernächsten Tag nochmals geschickt und hat dann auch super sauber gemacht. Trotzdem musste von uns im Urlaub geputzt werden, damit wir den ersten Tag die Küche überhaupt nutzen konnten.\nKaputter Garderobenständer, defekte Lampe im Schlafzimmer und in der Küche. Defektes Fenster von Anfang an in einem Schlafzimmer. Balkontüre ließ sich auch immer schlechter schließen.\nInfo über Late-checkout wurde wohl nicht weitergeben: plötzlich stand jemand vor der Türe und wollte in die Wohnung.\nLage der Wohnung ist top und sie hätte auch Potenzial, wird nur leider zwischen den Gästen nicht kontrolliert und so fallen die Mängel nicht auf. Als Gast muss man sich dann im Urlaub um die Reparaturen kümmern.', 'Das Airbnb in Seebach ist eine sehr geräumige Wohnung, die dazu schön eingerichtet ist. Ist für junge Menschen gut geeignet, wenn man in Zürich flexibel sein möchte. Sehr zu empfehlen.', 'Alles super ohne Probleme!!!', 'Alles OK', 'Sehr Zentrale Wohnung.. sehr gute Preis Leistung...']","['Föhn', 'Warmwasser', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bügeleisen', 'TV', 'Heizung', 'WLAN', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Kaffeemaschine', 'Terrasse oder Balkon', 'Kostenpflichtige Parkplätze auf dem Gelände', 'Eigenständiger Check-in', 'Elektronisches Türschloss']"
"Geräumiges und möbliertes 1,5 Studiozimmer @Wallisellen",150 CHF ,,,2 Gäste,1 Schlafzimmer,3 Betten,1 Badezimmer,47.41481,8.5886,,,,,,,,,[],"['Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Wäscheständer für Kleidung', 'Aufbewahrung von Kleidung', 'TV', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Herd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Toaster', 'Reiskocher', 'Esstisch', 'Kostenpflichtige Parkplätze auf dem Gelände', 'Langzeitaufenthalte sind möglich', 'Eigenständiger Check-in', 'Schlüsselbox']"
Helle private Wohnung ☆3 von 5 Zimmern ☆bis 23.07.22 ☆,140 CHF ,,,2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.36889,8.50406,,,,,,,,,[],"['Blick in den Garten', 'Badewanne', 'Föhn', 'Reinigungsprodukte', 'Warmwasser', 'Waschmaschine', 'Grundausstattung', 'Bettwäsche', 'Abdunklung', 'Ethernet-Verbindung', 'Klavier', 'Bücher und Lesematerial', 'Zentralheizung', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Kaffeemaschine: Espressomaschine, Nespresso-Maschine', 'Weingläser', 'Backblech', 'Mixer', 'Esstisch', 'Privat Innenhof oder Balkon']"
Winterthur - ganze Wohnung,128 CHF ,,"Winterthur, Kanton Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.50793,8.75729,82 Bewertungen,"4,95 ·","4,9","4,9","5,0","5,0","5,0","5,0","['Leiben Dank für alle Deine Mühe uund Offenheit!', 'Roberto ist wirklich ein Superhost! Er denkt an alles und die Wohnung ist ganz liebevoll eingerichtet. Man kann sich ab dem ersten Moment darin wohlfühlen. Die Lage ist einzigartig. Sehr empfehlenswert!', 'Sehr herzliche und liebevoll eingerichtete Wohnung! Sehr herzlicher und unkoplizierter Empfang des Gastgebers. Äusserst empfehlenswert.', 'Wir haben jetzt bereits das 3. Mal einen Kurzurlaub bei Roberto verbracht und uns jedes Mal super wohl gefühlt. Es ist eine heimelige Wohnung mit viel Charme. Sie ist komplett eingerichtet, alles was man braucht ist vorhanden. Die Lage ist super! Kurze Wege zum Bahnhof, Bus, Einkaufsmöglichkeiten.\nUnd vor allem ist der Gastgeber freundlich und sehr hilfsbereit bei allen Fragen.\nDie Unterkunft ist sehr zu empfehlen. Wir werden bestimmt wieder kommen.']","['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Seife oder Duschgel', 'Warmwasser', 'Waschmaschine\xa0– im Gebäude: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Bügeleisen', 'Wäscheständer für Kleidung', 'Aufbewahrung von Kleidung: Kleiderschrank', 'Ethernet-Verbindung', 'HDTV mit Normaler Kabelanschluss', 'Bücher und Lesematerial', 'Babybett', 'Reisebett für Kinder\xa0– auf Anfrage verfügbar', 'Tragbare Ventilatoren', 'Heizung', 'Rauchmelder', 'Kohlenmonoxidmelder', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Minikühlschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Induktionsherd', 'Ofen', 'Wasserkocher', 'Kaffeemaschine', 'Weingläser', 'Toaster', 'Backblech', 'Mixer', 'Kaffee', 'Esstisch', 'Kostenlose Parkplätze an der Straße', 'Kostenpflichtiges Parkhaus außerhalb des Grundstücks', 'Gepäck kann abgestellt werden', 'Langzeitaufenthalte sind möglich', 'Begrüßung durch Gastgeber']"
