;comments
159;Janas Wohnung war super gemütlich, genau so wie auf den Fotos, die Lage ist super super, sehr nahe am ÖV, gleich am Waldrand und ideal für Outdoor Aktivitäten. Kann die Wohnung sehr weiter empfehlen. Dankeschön Jana.
159;Ich habe einen Monat bei Jana verbracht. Die Wohnung ist ausgestattet mit Allem was man so zum Leben braucht. Es gibt einen Supermarkt und diverse Restaurants in der Nähe. Tram und S-Bahn sind auch nicht weit entfernt.
159;Alles super, sehr gerne wieder.
159;Der Kontakt war sehr nett und die Schlüsselübergabe hat wunderbar funktioniert. Die Wohnung ist wie auf den Bildern gezeigt und gut ans Straßenbahnnetz angebunden. Nur der Fluglärm ist manchmal etwas störend - aber Gott sei Dank ist ja Nachtflugverbot. Dafür sieht man mit etwas Glück ein waschechtes Reh gegenüber auf der Wiese stehen und es riecht auch immer lecker nach Gras und Wald.
159;"Hallo Jana

Es hat uns sehr gefreut, dass wir bei dir übernachten könnten. Wir hatten in deiner Wohnung bequem und zudem auch in der Umgebung war sehr angenehm und erfrischend. Ich hoffe, dass wir uns bald wiedersehen können.

Liebe Grüsse"
159;Die Lage ist alles – in einem sehr grünen Teil von Zürich gelegen, am Anfang vieler toller Rad- und Radwege. Leicht in die Stadt und zum Flughafen zu gelangen.
161;Die Wohnung liegt perfekt, ist gut ausgestattet und Rudi ein sehr netter Gastgeber!! Check in läuft einfach und unkompliziert ab! Rundum alles perfekt!!! Vielen Dank!!!
161;Es war ein absolut toller Aufenthalt! In der Wohnung fühlt man sich rundum wohl, und ihre Lage ist einfach genial: zentral und dennoch schön ruhig. Rudi ist ein super Gastgeber, sehr sympathisch mit vielen Tipps auf Lager!
161;Wirklich gut gelegene Unterkunft mit tollen Hosts! Sehr Aufmerksam und Flexibel. Es war wirklich alles super schnell geregelt und wir haben uns super wohl gefühlt. Kann ich wirklich nur weiter empfehlen.
161;Tolle Wohnung in einem tollen Haus mit tollen Gastgebern, nothing left to say.
161;Vielen Dank.
161;Ruhiger und komfortabler Wohnung. Es hat alles, was Sie für einige Tage brauchen. Wir haben dort eine ganze Woche gearbeitet und haben nichts vermisst. Ganz in der Nähe einer Straßenbahn- und Bushaltestelle (2 min). Schwierig, einen Parkplatz für das Auto zu finden.
161;Ja, wir haben stets etwas Probleme mit Parking. Wir liegen in einer Privatstrasse und haben begrenzt Platz. Temporär, nachts und an Wochenenden kann man aber in Absprache immer Lösungen finden. Ansonsten gibt es blaue Zone ganz in der Nähe.
161;Die Wohnung liegt perfekt, ist gut ausgestattet und Rudi ein sehr netter Gastgeber!! Check in läuft einfach und unkompliziert ab! Rundum alles perfekt!!! Vielen Dank!!!
161;Es war ein absolut toller Aufenthalt! In der Wohnung fühlt man sich rundum wohl, und ihre Lage ist einfach genial: zentral und dennoch schön ruhig. Rudi ist ein super Gastgeber, sehr sympathisch mit vielen Tipps auf Lager!
161;Wirklich gut gelegene Unterkunft mit tollen Hosts! Sehr Aufmerksam und Flexibel. Es war wirklich alles super schnell geregelt und wir haben uns super wohl gefühlt. Kann ich wirklich nur weiter empfehlen.
161;Tolle Wohnung in einem tollen Haus mit tollen Gastgebern, nothing left to say.
161;Tolle Unterkunft.
162;Perfekte Lage, alles wie angegeben. Super danke schön
162;Gute Lage, super Verbindung (Bahnhof direkt gegenüber), Blick auf See, sauber
162;"Standort OK. Wohnung sehr einfach.
Dauerparkmöglichkeit nur gegen Bezahlung- so nicht kommuniziert. Technische Ausstattung sehr einfach.
Kaum Ablagemöglichkeit Bekleidung"
162;Wir hatten eine schöne Zeit in Zürich. Die Lage der Wohnung und der Blick auf den Zürichsee sind einfach traumhaft. Die Wohnung und das Mobiliar sind ordentlich in die Jahre gekommen. Der Kontakt war schnell und sehr sympathisch.
162;Kurz vor Anreise hat uns der Gastgeber eine andere Wohnung gegeben, welche den gleichen Anforderungen entsprechen würde. Bei Ankunft war die Wohnungstür offen. Die Wohnung war in äusserst mangelhaftem und sehr verschmutztem Zustand (Boden, Fenster, Schränke, Oberflächen, Sofabett, etc.). Die Möbel sind «sehr in die Jahre gekommen», sehr abgewohnt und verkommen. Ein Nachttisch sogar kaputt. Die Wohnung entspricht nicht dem Zustand, wie der Gastgeber sie beschreibt und auf den Bildern zu sehen ist. Meine Eltern sind sofort wieder abgereist und mussten sich abends noch ein Hotel suchen. Der Gastgeber war rasch zu erreichen, leider war die Kommunikation nicht zufriedenstellend, auf meine Reklamationen hin – ausser der Verunreinigung, hat er diese leider nicht angenommen. Wir können dieses Apartment nicht empfehlen.
162;Diese Gäste waren nicht in unserer Wohnung, muss ich um ein Missverständnis handeln
162;Hat alles super geklappt.
162;Perfekte Lage, alles wie angegeben. Super danke schön
162;Gute Lage, super Verbindung (Bahnhof direkt gegenüber), Blick auf See, sauber
162;"Standort OK. Wohnung sehr einfach.
Dauerparkmöglichkeit nur gegen Bezahlung- so nicht kommuniziert. Technische Ausstattung sehr einfach.
Kaum Ablagemöglichkeit Bekleidung"
162;Danke für die Information, leider sind deine Bemerkungen falsch: Es wurde nie ein kostenloser Parkplatz angeboten, es gibt öffentliche Parkplätze für nur CHF 15.- pro Tag, Es gibt auch einen Schrank mit mehreren Fächern, das ist normalerweisen genügend. Danke dennoch über Euren Besuch.
162;Wir hatten eine schöne Zeit in Zürich. Die Lage der Wohnung und der Blick auf den Zürichsee sind einfach traumhaft. Die Wohnung und das Mobiliar sind ordentlich in die Jahre gekommen. Der Kontakt war schnell und sehr sympathisch.
162;"Die Lage der Wohnung ist aufgezeichnet und für einen Zürich-Aufenthalt ideal. Der Bahnhof Tiefenbrunnen liegt direkt vor der Haustür, Parkplätze sind für 15 CHF am Tag vorhanden.
Der Weg zu Fuß in die Stadt ist schön, direkt am See entlang.
Die Wohnung ist sauber und ordentlich, die Ausstattung ist völlig ausreichend für ein paar Tage in Zürich.
Wir kommen gern wieder."
163;Die Wohnung ist sehr schön und in toller Lage. Carlos war sehr aufmerksam und hilfsbereit, während ich nach einer dauerhaften Unterkunft in Zürich suchte.
163;Schöner Ort im Herzen Zürichs.
163;Im Allgemeinen war es gut.
166;Schöner Ort zum übernachten. Aber wenn Sie schweres Gepäck tragen, müssen Sie bereitstehen. Für dieses Gebäude im 3. Stock gibt es keinen Aufzug.
167;Schöne gemütliche Wohnung in einem schönen Zürcher Quartier. Alles da, was man braucht.
167;"Diese Wohnung war in der Stadt, bequem für einen Supermarkt und sogar zu Fuß zum Stadtzentrum. Genießter Spaziergang durch die Umgebung. Bus und Straßenbahn zu nehmen war so einfach und es gab viel zur Auswahl.

Dieser Sommer war sehr heiß, daher wäre ein Standventilator sehr hilfreich. Aber das linke Fenster ist stattdessen leicht geöffnet.

Ansonsten habe ich den Aufenthalt in der Wohnung sehr genossen. Gute Lage und gutes Preis-Leistungs-Verhältnis. Celines Kommunikation und Anweisungen waren schnell und hilfreich."
167;Sehr organisiertes Haus
167;Lage Lage Lage! Diese Unterkunft ist in der Nähe von allem - Lebensmittelgeschäfte, Straßenbahnhaltestelle, Bushaltestelle, Restaurants usw. Das bedeutet, wenn du hier übernachtest, hast du Zugang zu allem, was Zürich zu bieten hat. Die Unterkunft beinhaltet alle grundlegenden Dinge. Es gibt nur ein paar Dinge, die ich erwähnen möchte, da der Ort neben der Bushaltestelle, der belebten Straße und dem Restaurant liegt, ist dies nicht der richtige Ort für dich, wenn du Ruhe und Frieden möchtest. Außerdem würde ich mehr Beleuchtung im Duschbereich empfehlen, da es dort dunkel werden kann.
167;Schöne Unterkunft, alles da, was man braucht. Es ist keine neu gebaute Wohnung, aber als solche wird sie auch nicht beschrieben, dafür hat sie Charme. Aufgrund der Lage an der Straße kann es bei geöffnetem Fenster schon etwas lauter werden, dafür ist man aber sofort am Bus. Alles in allem eine sehr empfehlenswerte Unterkunft für ein paar Tage.
167;Die Wohnung liegt sehr schön in Wiedikon, meinem Lieblingststadtteil von Zürich mit super Anbindung an die öffentlichen Verkehrsmittel, Supermärkten, Restaurants, Cafés und Bars. Da an einer großen Strasse, kann es auch mal etwas lauter sein, was mich persönlich aber nie stört – ganz im Gegenteil, ist eine tolle belebte Gegend, wo man eben alles vor der Tür hat. Kommunikation und Support, Check-in alles reibungslos und unkompliziert. Ich komme gerne wieder.
167;Schöne gemütliche Wohnung in einem schönen Zürcher Quartier. Alles da, was man braucht.
167;"Diese Wohnung war in der Stadt, bequem für einen Supermarkt und sogar zu Fuß zum Stadtzentrum. Genießter Spaziergang durch die Umgebung. Bus und Straßenbahn zu nehmen war so einfach und es gab viel zur Auswahl.

Dieser Sommer war sehr heiß, daher wäre ein Standventilator sehr hilfreich. Aber das linke Fenster ist stattdessen leicht geöffnet.

Ansonsten habe ich den Aufenthalt in der Wohnung sehr genossen. Gute Lage und gutes Preis-Leistungs-Verhältnis. Celines Kommunikation und Anweisungen waren schnell und hilfreich."
167;Sehr organisiertes Haus
167;Lage Lage Lage! Diese Unterkunft ist in der Nähe von allem - Lebensmittelgeschäfte, Straßenbahnhaltestelle, Bushaltestelle, Restaurants usw. Das bedeutet, wenn du hier übernachtest, hast du Zugang zu allem, was Zürich zu bieten hat. Die Unterkunft beinhaltet alle grundlegenden Dinge. Es gibt nur ein paar Dinge, die ich erwähnen möchte, da der Ort neben der Bushaltestelle, der belebten Straße und dem Restaurant liegt, ist dies nicht der richtige Ort für dich, wenn du Ruhe und Frieden möchtest. Außerdem würde ich mehr Beleuchtung im Duschbereich empfehlen, da es dort dunkel werden kann.
167;Super gut gelegene Unterkunft, die das erfüllt, was sie verspricht. Danke!
168;Perfekte Wohnung, sehr sauber, in ausgezeichnetem Zustand, mit toller Atmosphäre, in einer ruhigen Gegend, nicht weit von Geschäften, Restaurants und Verkehrsmitteln entfernt.
169;"Vielen Dank Michaela. Die Wohnung war schöner als erwartet. Es ist mit allem Nötigen ausgestattet. Ich liebte die doppelte Exposition, die die Wohnung super hell machte. Wirklich magisch, wir werden definitiv wieder dort übernachten! Vielen Dank für deine wunderbare Freundlichkeit
Mehr anzeigen"
172;Gerne wieder!
172;Ein toller Ort für ein paar Tage während eines Besuchs in Zürich!
172;"Buche diese Unterkunft nicht!!!! Meine Buchung wurde versehentlich getätigt und ich habe darum gebeten, diese Sekunde richtig zu stornieren, und fordere seit den letzten 8 Tagen eine Rückerstattung vom Gastgeber an, aber der Gastgeber hat mein Geld genommen und mir überhaupt nicht geantwortet. Ich bin im Ausland und stecke ohne Geld für Essen fest. Dieser Gastgeber ist schrecklich unethisch und gierig und nicht ehrlich und verständnisvoll mit der Situation von jemandem.
Mehr anzeigen"
172;Sehr gute Lage. Louis ist aufmerksam!
172;"Ideal für Alleinreisende oder Paare, die lieber mehr Zeit draußen verbringen und die Gegend erkunden möchten, als drinnen zu entspannen.

Ausgezeichnete Lage im Zentrum des Nachtlebens und nur wenige Gehminuten von den wichtigsten Verkehrsknotenpunkten entfernt.

Die Straßen darunter sind nachts etwas chaotisch, aber es spielt keine Rolle, ob du sowieso spät feierst und trinkst.

Erschwinglich mit allem, was du brauchst, mit nichts, was du nicht brauchst.
Mehr anzeigen"
172;"die Wohnung ist zentral gelegen und gut mit den öffentlichen Verkehrsmitteln verbunden. Wenn du auf der Suche nach einem Ort bist, an dem du deine Privatsphäre haben möchtest, ohne Bad und Räume zu teilen, ist dies der richtige. Louis ist immer verfügbar und war großzügig, mir einen Drink anzubieten, zu plaudern und mir die Gegend, die besten Orte und Bars zu zeigen
Mehr anzeigen"
175;Absolute Empfehlung! Wir waren zwei Nächte bei Kamil. Er ist ein wundervoller, warmer, herzlicher Mensch und toller Gastgeber. Die Wohnung war ideal für uns. Gute Lage (ruhig und dennoch nahe zur Innenstadt), sauber und super ausgestattet. Danke, Kamil! :)
175;"Alles war wie beschrieben. Die Wohnung war schön. Und mit der Bahn war man auch schnell in der Innenstadt. Man kann auch laufen, ist aber schon ein Stück.
Kamil war sehr nett und antwortete immer schnell."
175;Die Wohnung liegt am Rande der Stadt in einer schönen und ruhigen Gegend. Die Innenstadt ist in wenigen Minuten mit der Tram zu erreichen. Die Haltestelle erreicht man bequem zu Fuß in 5 Minuten. Die Wohnung ist mit allem ausgestattet was man braucht. Bei schönem Wetter hat man die Möglichkeit im Garten zu sitzen. Ein Stellplatz für ein Auto ist auch vorhanden. Kamil hat uns bei unserer Anreise empfangen und uns alles gezeigt. Die Kommunikation funktionierte jederzeit problemlos um schnell. Kamil ist ein netter Gastgeber und bei unserer nächsten Reise nach Zürich kommen wir gerne wieder 😊
176;"Wir hatten noch nie so ein großartiges Quartier!!!!!

Die Gastgeberin, die Wohnung, die Lage....... Einfach ALLES SUPER PERFEKT!

Für Tina sollten unbedingt 7 Sterne zugelassen werden.

Eigentlich sollte ich so einen Geheimtip nicht weitergeben, sonst wollen Alle bei Tina wohnen, und wir bekommen unsere Wunsch-Termine nicht mehr ;-)))

Tausend Dank Tina - wir kommen wieder und zwar ganz oft!!!!!"
176;Ich bin in diesen schönen Ort verliebt! Sobald ich reinkam, fühlte ich mich wie zuhause. Ich liebte das Design und wie alles gut durchdacht war und wie alles gut durchdacht war. Tina war eine sehr reaktionsschnelle Gastgeberin und mein Aufenthalt hätte nicht besser sein können. Danke!
176;Super Gastgeber. Platz leicht zu finden. Keine Küche, aber sehr gute Restaurants in der Nähe. Ganz in der Nähe der ETH Hönggerberg.
176;Tinas Unterkunft ist super, eigentlich sogar noch besser als auf den Fotos. Es ist wirklich gut eingerichtet, mit einer fantastischen Aussicht. Das Viertel ist ruhig. Tina und ihre Familie waren freundlich und hilfsbereit. Sehr zu empfehlen!
176;Tinas Unterkunft war geräumig, modern und komfortabel. Ich hatte eine tolle Erholung und liebte es, mit der Aussicht aufzuwachen. Tina war auch hilfsbereit und einfallsreich!
176;"Modern eingerichtete, saubere Wohnung in bester Lage und sehr nahe beim öffentlichen Verkehr.

Tina ist eine tolle Gastgeberin, sehr freundlich, zuverlässig und warmherzig. Man fühlt sich gleich willkommen, und ich kann diese Unterkunft wärmstens empfehlen."
176;"Wir hatten noch nie so ein großartiges Quartier!!!!!

Die Gastgeberin, die Wohnung, die Lage....... Einfach ALLES SUPER PERFEKT!

Für Tina sollten unbedingt 7 Sterne zugelassen werden.

Eigentlich sollte ich so einen Geheimtip nicht weitergeben, sonst wollen Alle bei Tina wohnen, und wir bekommen unsere Wunsch-Termine nicht mehr ;-)))

Tausend Dank Tina - wir kommen wieder und zwar ganz oft!!!!!"
176;Ich bin in diesen schönen Ort verliebt! Sobald ich reinkam, fühlte ich mich wie zuhause. Ich liebte das Design und wie alles gut durchdacht war und wie alles gut durchdacht war. Tina war eine sehr reaktionsschnelle Gastgeberin und mein Aufenthalt hätte nicht besser sein können. Danke!
176;Super Gastgeber. Platz leicht zu finden. Keine Küche, aber sehr gute Restaurants in der Nähe. Ganz in der Nähe der ETH Hönggerberg.
176;Tinas Unterkunft ist super, eigentlich sogar noch besser als auf den Fotos. Es ist wirklich gut eingerichtet, mit einer fantastischen Aussicht. Das Viertel ist ruhig. Tina und ihre Familie waren freundlich und hilfsbereit. Sehr zu empfehlen!
176;Tinas Unterkunft war geräumig, modern und komfortabel. Ich hatte eine tolle Erholung und liebte es, mit der Aussicht aufzuwachen. Tina war auch hilfsbereit und einfallsreich!
176;"Der Aufenthalt bei Tina war großartig!
Sie ist sehr freundlich und hat alles in ihrer Hand getan, um meinen Aufenthalt sehr angenehm zu machen.
Die Wohnung ist sehr cool und ein schöner Ort, um die Aussicht zu genießen.
Definitiv ein toller Aufenthalt.
Danke Tina."
177;"Waren 2 Wochen in dem Apartment,
Küche ist gut ausgestattet und das Bad war sauber. Das Apartment ist in einem ruhigen Viertel und die Straßenbahnhaltestelle ist nicht zu weit weg.
Rundum zufrieden."
177;Schöne große Wohnung, netter Balkon, schöne Einrichtung und gute Lage in Hard. Gut ausgestattete Küche. Sehr unkomplizierter Ablauf, gerne wieder!
177;Ich habe das Apartment von Marc and the Keys`n`Fly Team sauber vorgefunden. Es ist mit dem wichtigsten ausgestattet und neu möbliert. Die Kommunikation für die Ankunft verlief gut, nur für die Abreise hätte ich mir einige Instruktionen gewünscht. Alles in allem wird uns der Aufenthalt aber in positiver Erinnerung bleiben.
177;Eine Super Lage, wenn ihr auf Grund einer Veranstaltung im Letzigrund Stadion in Zürich seid. Auch die Altstadt ist in ca. 40 Min zu Fuß oder in ca. 10 Min. mit einem Uber erreichbar. Der Check-In war unkompliziert und die Wohnung sehr sauber. Klare Empfehlung.
177;War alles perfekt ein super Air-bnb!
177;Es war alles super!Sehr schöne Wohnung!
177;"Waren 2 Wochen in dem Apartment,
Küche ist gut ausgestattet und das Bad war sauber. Das Apartment ist in einem ruhigen Viertel und die Straßenbahnhaltestelle ist nicht zu weit weg.
Rundum zufrieden."
177;Schöne große Wohnung, netter Balkon, schöne Einrichtung und gute Lage in Hard. Gut ausgestattete Küche. Sehr unkomplizierter Ablauf, gerne wieder!
177;Ich habe das Apartment von Marc and the Keys`n`Fly Team sauber vorgefunden. Es ist mit dem wichtigsten ausgestattet und neu möbliert. Die Kommunikation für die Ankunft verlief gut, nur für die Abreise hätte ich mir einige Instruktionen gewünscht. Alles in allem wird uns der Aufenthalt aber in positiver Erinnerung bleiben.
177;Eine Super Lage, wenn ihr auf Grund einer Veranstaltung im Letzigrund Stadion in Zürich seid. Auch die Altstadt ist in ca. 40 Min zu Fuß oder in ca. 10 Min. mit einem Uber erreichbar. Der Check-In war unkompliziert und die Wohnung sehr sauber. Klare Empfehlung.
177;alles war gut
178;Es war alles bestens, sehr zentrale Lage jedoch ganz ruhig da im 5 Stock mit Aufzug ubd herrlovhrm Blicke pber die Dächer auf die nahegelegenen Hänge. Ein sehr gemütliches Zimmer alles vorhanden und gleich zum wohlfühlen. Chris reagierte stets auf mögl. Fragen und war sehr bemüht die für mich wichtigen Infos sofort an mich zu geben. Der Check in total unkompliziert. Ich werde wiederkommen im Sommer und freue mich jetzt schon darauf. Toll dass Einkaufsmöglichkeiten mit bioqualität Sortiment bei Micros direkt gegenüber mögloch ist. Die Tram direkt vor der Türe aber nicht hörbar. Ansonsten nur ein kurzer Weg zum See und auch zu Fuss bis zum Weihnachtsmarkt nur ein Sprung. Ich danke herzlich und freue mich aufs nächste Mal.
178;Eine sehr schöne Unterkunft in einer top Lage und mit moderner Ausstattung. Kommunikation und Check-In haben super geklappt. Parken ist teilweise etwas erschwert, jedoch machbar.
178;Sehr professionelle und gute Kommunikation.
178;Die beste Lage in Zürich, der See in Fussnähe und unten schöne Bars und Restaurants, was will man mehr? Chris war immer gut erreichbar bei Fragen und hat immer schnell reagiert. Man kann die Wohnung nur empfehlen, auch wenn sie nicht günstig ist. Aber so ist Zürich...
178;Gemütlich, gut ausgestattet, super Lage. Komme wieder!
178;Sehr gut ausgestattete Wohnung in zentraler Lage!
178;Es war alles bestens, sehr zentrale Lage jedoch ganz ruhig da im 5 Stock mit Aufzug ubd herrlovhrm Blicke pber die Dächer auf die nahegelegenen Hänge. Ein sehr gemütliches Zimmer alles vorhanden und gleich zum wohlfühlen. Chris reagierte stets auf mögl. Fragen und war sehr bemüht die für mich wichtigen Infos sofort an mich zu geben. Der Check in total unkompliziert. Ich werde wiederkommen im Sommer und freue mich jetzt schon darauf. Toll dass Einkaufsmöglichkeiten mit bioqualität Sortiment bei Micros direkt gegenüber mögloch ist. Die Tram direkt vor der Türe aber nicht hörbar. Ansonsten nur ein kurzer Weg zum See und auch zu Fuss bis zum Weihnachtsmarkt nur ein Sprung. Ich danke herzlich und freue mich aufs nächste Mal.
178;Eine sehr schöne Unterkunft in einer top Lage und mit moderner Ausstattung. Kommunikation und Check-In haben super geklappt. Parken ist teilweise etwas erschwert, jedoch machbar.
178;Sehr professionelle und gute Kommunikation.
178;Die beste Lage in Zürich, der See in Fussnähe und unten schöne Bars und Restaurants, was will man mehr? Chris war immer gut erreichbar bei Fragen und hat immer schnell reagiert. Man kann die Wohnung nur empfehlen, auch wenn sie nicht günstig ist. Aber so ist Zürich...
178;Gemütlich, gut ausgestattet, super Lage. Komme wieder!
178;Schönes Haus, schönes Apartment, sehr gute Lage, Tram vor der Tür, in 5 Minuten am See und Opernhaus, Restaurants und Supermärkte in direkter Nähe, prima Kommunikation, alles bestens! Danke!
179;",
 · Last-Minute-Reise
Alles gut und super freundlich und hilfsbereit"
179;Vanessa war sehr hilfsbereit! Die Wohnungen sind schön und sehr modern. Sie können sehen, dass sie erst kürzlich hergestellt wurden. Die Lage ist sehr ruhig!
179;",
 · Last-Minute-Reise
Die Wohnung war wirklich schön und sauber. Die Lage war sehr nah am Bahnhof. Wir hatten einen wirklich schönen Aufenthalt. Wir hätten uns über etwas mehr Kommunikation seitens des Besitzers gefreut, da wir erwartet hatten, dass eine Frau uns großartig machen würde, und wir nicht wussten, dass ein anderer Mann kommen würde, um unsere Identität zu bestätigen. Das machte uns als zwei junge Reisende vorsichtig. Aber alles in allem war es ein schöner Aufenthalt in einer großartigen Lage.
Mehr anzeigen"
180;Hat alles gepasst
180;"Eine schöne Wohnung mit einer gut ausgestatteten Küche und einem netten Gastgeber.
Im Haus und drum herum wohnen viele Kinder, daher ist immer etwas los. Bis zur Bahn & zu einem kleinen Supermarkt ist es nicht weit.
Wir kommen gerne wieder"
180;"Das ist somit eine der bestorganisierten Wohnungen die ich bei Airbnb gebucht habe. Individuelle Aufmerksamkeiten und Empfehlungen von Saschja sind Gold wert.
Würde diese Wohnung wieder Buchen und kann sie jedem Empfehlen."
180;Hier gibt's nichts zu meckern, alles super!
180;Schöne Wohnung in einen ruhigen Quartier.
180;Gute Lage. Ruhig. Vieles schnell erreichbar.
180;Hat alles gepasst
180;"Eine schöne Wohnung mit einer gut ausgestatteten Küche und einem netten Gastgeber.
Im Haus und drum herum wohnen viele Kinder, daher ist immer etwas los. Bis zur Bahn & zu einem kleinen Supermarkt ist es nicht weit.
Wir kommen gerne wieder"
180;"Das ist somit eine der bestorganisierten Wohnungen die ich bei Airbnb gebucht habe. Individuelle Aufmerksamkeiten und Empfehlungen von Saschja sind Gold wert.
Würde diese Wohnung wieder Buchen und kann sie jedem Empfehlen."
180;Hier gibt's nichts zu meckern, alles super!
180;"Sehr angenehmer Aufenthalt, die Wohnung ist sehr gut gelegen, um Zürich zu besuchen.
Ruhige Unterkunft und 3 Minuten von den öffentlichen Verkehrsmitteln entfernt.
Geräumiges und komfortables Schlaf, Schlaf, - und -raum"
181;Proaktive, offene Kommunikation mit Chris. Die Wohnung ist super gelegen zwischen See und Altstadt. Im Sommer ist es etwas warm in der Wohnung, aber es gibt Jalousien und Ventilator. Wohnung ist gut ausgestattet, die Gegend sehr ruhig.
181;Es ist ein schönes, sehr sauberes Apartment, super gelegen und dennoch sehr ruhig.
181;Alles super, würde sofort wieder kommen
181;Top zu empfehlen.
181;"Gute Lage und durchdachte Einrichtung sorgen für absolute Wohlfühlatmosphäre. Über den Dächern von Zürich lässt es sich angenehm wohnen und arbeiten, sowie Ausflüge in die Stadt oder auf den Uetliberg unternehmen.
Alles wie auf den Fotos zu sehen und beschrieben."
181;Sehr zentrale Lage, schönes Studio!
181;Proaktive, offene Kommunikation mit Chris. Die Wohnung ist super gelegen zwischen See und Altstadt. Im Sommer ist es etwas warm in der Wohnung, aber es gibt Jalousien und Ventilator. Wohnung ist gut ausgestattet, die Gegend sehr ruhig.
181;Es ist ein schönes, sehr sauberes Apartment, super gelegen und dennoch sehr ruhig.
181;Alles super, würde sofort wieder kommen
181;Top zu empfehlen.
181;War insgesamt OK.
184;Tolles kleines Studio in einer perfekten Lage in Zürich . Kommunikation wirklich perfekt . Sehr gerne komme ich wieder zu Chris.
184;Die Kommunikation mit Chris hat sehr gut funktioniert und er hat sich um auftretende Fragen schnell gekümmert. Die Wohnung ist schick und gut gelegen, insgesamt sehr zu empfehlen!
184;Schöne Wohnung, es hat alles Reibungslos funktioniert. Vielen Dank Chris!
184;"Das Check-In und Check-Out war sehr unkompliziert und angenehm und wir konnten auch unser Gepäck bereits früher im Gebäude abstellen.
Das ganze Apartment ist schön eingerichtet und vorallem sehr gut gelegen. Man erreicht vieles zu Fuss, aber auch die Tramstation ist sehr Nahe und hat viele gute Verbindungen.
Es war ein sehr toller Aufenthalt zu Zweit für ein paar Tage!"
185;"Die Airbnb ist ok.

Ich hab vorher nicht ganz gewusst, wie die Lage ist. Ich war das erste Mal in der Schweiz. Es war extrem laut und nachts konnte man nicht schlafen. Nicht weil der Krach von außen, sondern von den anderen Bewohnern extrem laut war. Sehr hellhörige Wohnung. Sehr unschönes Viertel für meinen persönlichen Geschmack. Hab aber auch wie gesagt, nicht auf die Lage sondern eher auf Bewertungen geachtet.
Ausstattung ist für eine Airbnb ok.
Ich würde sie aber allein wegen des Krachs nicht mehr buchen.

Eigenständiger Check-in war nicht möglich, da keine Schlüsselbox vorhanden.

Host ist nett und sehr schnell im antworten, wenn etwas sein sollte."
185;"Saubere Wohnung, gute Kommunikation, einfacher Check in.

Manchmal wars ein bisschen laut."
185;Sehr schönes Apartment in zentraler Lage mit allem, was man braucht, und sehr nette Gastgeberin. Die Kommunikation war schnell und unkompliziert.
185;"Jacqueline ist eine sehr freundliche, umsichtige Person, die diese Unterkunft sehr schön und wohnlich eingerichtet hat.
Es fehlt wirklich an nichts.
Die Lage in der Stadt und die Anbindung an öffentliche Verkehrsmittel ist optimal und die Einkaufsmöglichkeit in direkter Nachbarschaft könnte nicht besser sein.
Zur Zeit sind alle Bars und Clubs geschlossen, dadurch hatte ich eine sehr ruhige Zeit, aber ich kann mir vorstellen, dass es zu ""normalen Zeiten"" auch am Abend etwas lauter sein kann.
Wen das nicht stört, findet bei Jacqueline die optimale Unterkunft."
185;"Es wird abends wirklich sehr laut in diesem Viertel. Ein Parkplatz ist nicht dabei. Man muss in einem nahegelegenen Parkhaus parken. Dieses kostet 40 CHF / 24h...
Gleich neben der Wohnung ist dafür ein „Mini Supermarkt“ und eine Apotheke und man ist auch sehr schnell zu Fuß bei den Sehenswürdigkeiten der Stadt. Es gibt keinen Fernseher dafür verschiedene Gesellschaftsspiele und es liegt ein Stadtplan in der Wohnung.
Die Gastgeberin ist sehr nett und die Kommunikation hat einwandfrei geklappt"
185;"Top Wohnung, aber man sollte sich bewusst sein, dass die Wohnung im Party-Viertel Zürichs liegt. Für wen das kein Problem ist, ist die Wohnung perfekt.
Kommunikation und die Schlüssel-Übergabe liefen problemlos."
185;"Die Airbnb ist ok.

Ich hab vorher nicht ganz gewusst, wie die Lage ist. Ich war das erste Mal in der Schweiz. Es war extrem laut und nachts konnte man nicht schlafen. Nicht weil der Krach von außen, sondern von den anderen Bewohnern extrem laut war. Sehr hellhörige Wohnung. Sehr unschönes Viertel für meinen persönlichen Geschmack. Hab aber auch wie gesagt, nicht auf die Lage sondern eher auf Bewertungen geachtet.
Ausstattung ist für eine Airbnb ok.
Ich würde sie aber allein wegen des Krachs nicht mehr buchen.

Eigenständiger Check-in war nicht möglich, da keine Schlüsselbox vorhanden.

Host ist nett und sehr schnell im antworten, wenn etwas sein sollte."
185;"Saubere Wohnung, gute Kommunikation, einfacher Check in.

Manchmal wars ein bisschen laut."
185;Sehr schönes Apartment in zentraler Lage mit allem, was man braucht, und sehr nette Gastgeberin. Die Kommunikation war schnell und unkompliziert.
185;"Jacqueline ist eine sehr freundliche, umsichtige Person, die diese Unterkunft sehr schön und wohnlich eingerichtet hat.
Es fehlt wirklich an nichts.
Die Lage in der Stadt und die Anbindung an öffentliche Verkehrsmittel ist optimal und die Einkaufsmöglichkeit in direkter Nachbarschaft könnte nicht besser sein.
Zur Zeit sind alle Bars und Clubs geschlossen, dadurch hatte ich eine sehr ruhige Zeit, aber ich kann mir vorstellen, dass es zu ""normalen Zeiten"" auch am Abend etwas lauter sein kann.
Wen das nicht stört, findet bei Jacqueline die optimale Unterkunft."
